"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 26 10:25:31 GMT 2024","Mon Aug 26 10:25:31 GMT 2024","768","","main","","","","test_upload_pet_image_format[JPEG]",""
"passed","Mon Aug 26 10:25:58 GMT 2024","Mon Aug 26 10:25:58 GMT 2024","36","","main","","","","test_find_by_pet_id",""
"passed","Mon Aug 26 10:25:32 GMT 2024","Mon Aug 26 10:25:33 GMT 2024","825","","main","","","","test_upload_image_metadata[112324]",""
"failed","Mon Aug 26 10:25:58 GMT 2024","Mon Aug 26 10:25:58 GMT 2024","171","","main","","","","test_upload_pet_image_sizes_statuses[img_size3-400]",""
"passed","Mon Aug 26 10:25:58 GMT 2024","Mon Aug 26 10:25:58 GMT 2024","35","","main","","","","test_update_pet_data",""
"passed","Mon Aug 26 10:25:58 GMT 2024","Mon Aug 26 10:25:58 GMT 2024","32","","main","","","","test_upload_pet_image_sizes_statuses[img_size2-200]",""
"passed","Mon Aug 26 10:25:30 GMT 2024","Mon Aug 26 10:25:31 GMT 2024","793","","main","","","","test_upload_pet_image_format[PNG]",""
"passed","Mon Aug 26 10:25:33 GMT 2024","Mon Aug 26 10:25:34 GMT 2024","607","","main","","","","test_upload_image_metadata[]",""
"passed","Mon Aug 26 10:25:40 GMT 2024","Mon Aug 26 10:25:58 GMT 2024","17868","","main","","","","test_upload_pet_image_sizes_statuses[img_size1-200]",""
"passed","Mon Aug 26 10:25:31 GMT 2024","Mon Aug 26 10:25:32 GMT 2024","680","","main","","","","test_upload_image_metadata[Random image upload]",""
"passed","Mon Aug 26 10:25:34 GMT 2024","Mon Aug 26 10:25:40 GMT 2024","6071","","main","","","","test_upload_pet_image_sizes_statuses[img_size0-200]",""
