"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 26 10:54:09 GMT 2024","Mon Aug 26 10:54:10 GMT 2024","671","","main_test","","","","test_upload_image_metadata[Random image upload]",""
"passed","Mon Aug 26 10:54:08 GMT 2024","Mon Aug 26 10:54:09 GMT 2024","813","","main_test","","","","test_upload_pet_image_format[PNG]",""
"passed","Mon Aug 26 10:54:39 GMT 2024","Mon Aug 26 10:54:40 GMT 2024","228","","main_test","","","","test_find_by_pet_id",""
"passed","Mon Aug 26 10:54:17 GMT 2024","Mon Aug 26 10:54:39 GMT 2024","22205","","main_test","","","","test_upload_pet_image_sizes_statuses[img_size1-200]",""
"passed","Mon Aug 26 10:54:11 GMT 2024","Mon Aug 26 10:54:12 GMT 2024","749","","main_test","","","","test_upload_image_metadata[]",""
"failed","Mon Aug 26 10:54:39 GMT 2024","Mon Aug 26 10:54:39 GMT 2024","164","","main_test","","","","test_upload_pet_image_sizes_statuses[img_size3-400]",""
"passed","Mon Aug 26 10:54:39 GMT 2024","Mon Aug 26 10:54:39 GMT 2024","224","","main_test","","","","test_update_pet_data",""
"passed","Mon Aug 26 10:54:12 GMT 2024","Mon Aug 26 10:54:17 GMT 2024","5034","","main_test","","","","test_upload_pet_image_sizes_statuses[img_size0-200]",""
"passed","Mon Aug 26 10:54:10 GMT 2024","Mon Aug 26 10:54:11 GMT 2024","657","","main_test","","","","test_upload_image_metadata[112324]",""
"passed","Mon Aug 26 10:54:09 GMT 2024","Mon Aug 26 10:54:09 GMT 2024","756","","main_test","","","","test_upload_pet_image_format[JPEG]",""
"passed","Mon Aug 26 10:54:39 GMT 2024","Mon Aug 26 10:54:39 GMT 2024","175","","main_test","","","","test_upload_pet_image_sizes_statuses[img_size2-200]",""
